fighter,dob
Alice Pereira,"Dec 20, 2005"
Alistair Overeem,"May 17, 1980"
Aljamain Sterling,"Jul 31, 1989"
Allan Goes,"Apr 20, 1971"
Allan Nascimento,"Sep 11, 1991"
Allan Zuniga,"Apr 04, 1992"
Allen Berube,"Aug 25, 1974"
Allen Crowder,"Nov 08, 1989"
Allen Frye Jr.,"Apr 15, 1998"
Alonzo Menifield,"Oct 18, 1987"
Alptekin Ozkilic,"Mar 27, 1986"
Alvaro Herrera Mendoza,"May 14, 1990"
Alvin Hines,"Oct 20, 1991"
Alvin Robinson,"Jul 16, 1982"
Amanda Cooper,"Oct 22, 1991"
Amanda Lemos,"May 22, 1987"
Amanda Nunes,"May 30, 1988"
Amanda Ribas,"Aug 26, 1993"
Amar Suloev,"Jul 01, 1976"
Amaury Bitetti,"Apr 14, 1969"
Amilcar Alves,"Aug 08, 1988"
Amir Albazi,"Oct 27, 1993"
Amir Sadollah,"Aug 27, 1980"
Anderson Dos Santos,"Jul 24, 1985"
Anderson Silva,"Apr 14, 1975"
Andre Ewell,"Jan 21, 1988"
Andre Fialho,"Apr 07, 1994"
Andre Fili,"Jun 25, 1990"
Andre Gusmao,"May 19, 1977"
Andre Lima,"Feb 04, 1999"
Andre Muniz,"Feb 17, 1990"
Andre Pederneiras,"Mar 22, 1967"
Andre Petroski,"Jun 12, 1991"
Andre Roberts,"Feb 24, 1965"
Andre Soukhamthath,"Oct 23, 1988"
Andre Winner,"Nov 09, 1981"
Andrea Lee,"Feb 11, 1989"
Andreas Gustafsson,"Feb 20, 1991"
Andreas Michailidis,"Jul 18, 1988"
Andreas Stahl,"May 20, 1988"
Andrei Arlovski,"Feb 04, 1979"
Andrei Semenov,"Jun 17, 1977"
Andrew Craig,"Jan 15, 1986"
Andrew Holbrook,"Feb 06, 1986"
Andrew Sanchez,"Apr 08, 1988"
Andrey Pulyaev,"Sep 10, 1997"
Andy Anderson,"Jul 16, 1974"
Andy Enz,"Aug 15, 1991"
Andy Ogle,"Feb 16, 1989"
Andy Wang,"May 28, 1977"
Ange Loosa,"Mar 18, 1993"
Angel Pacheco,"Jan 13, 1992"
Angela Hill,"Jan 12, 1985"
Angela Magana,"Aug 02, 1983"
Anistavio Medeiros,"May 01, 1988"
Anna Elmose,"Oct 06, 1984"
Ansar Chalangov,"Oct 30, 1979"
Anshul Jubli,"Jan 13, 1995"
Ante Delija,"Aug 07, 1990"
Anthony Birchak,"May 16, 1986"
Anthony Christodoulou,"Jul 30, 1987"
Anthony Hamilton,"Apr 14, 1980"
Anthony Hernandez,"Oct 18, 1993"
Anthony Ivy,"Jan 23, 1990"
Anthony Johnson,"Mar 06, 1984"
Anthony Lapsley,"Feb 13, 1980"
Anthony Macias,"Feb 09, 1969"
Anthony Njokuani,"Mar 01, 1980"
Anthony Perosh,"Oct 05, 1972"
Anthony Pettis,"Jan 27, 1987"
Anthony Rocco Martin,"Dec 11, 1989"
Anthony Smith,"Jul 26, 1988"
Anthony Torres,"Jul 31, 1978"
Anton Kuivanen,"May 01, 1984"
Anton Turkalj,"Jun 10, 1996"
Anton Zafir,"May 10, 1987"
Antoni Hardonk,"Feb 05, 1976"
Antonina Shevchenko,"Nov 20, 1984"
Antonio Arroyo,"Jul 01, 1989"
Antonio Banuelos,"Sep 23, 1979"
Antonio Braga Neto,"Oct 29, 1987"
Antonio Carlos Junior,"Mar 16, 1990"
Antonio Carvalho,"May 30, 1979"
Antonio Dos Santos,"Jul 21, 1988"
Antonio McKee,"Mar 12, 1970"
Antonio Mendes,"Apr 19, 1981"
Antonio Rodrigo Nogueira,"Jun 02, 1976"
Antonio Silva,"Sep 14, 1979"
Antonio Trocoli,"Dec 06, 1990"
Anying Wang,"Apr 04, 1991"
Aori Qileng,"Jun 25, 1993"
Aoriqileng,"Jun 25, 1993"
Ariane Carnelossi,"Nov 17, 1992"
Ariane Lipski,
Ariane da Silva,"Jan 26, 1994"
Ariel Beck,"Sep 16, 1990"
Arjan Bhullar,"May 13, 1986"
Arman Tsarukyan,"Oct 11, 1996"
Armen Petrosyan,"Nov 03, 1990"
Arnold Allen,"Jan 22, 1994"
Artem Lobov,"Aug 11, 1986"
Asbel Cancio,--
Ashkan Mokhtarian,"Sep 15, 1985"
Ashlee Evans-Smith,"Jul 09, 1987"
Ashley Yoder,"Oct 20, 1987"
Askar Askarov,"Oct 09, 1992"
Askar Mozharov,"Oct 26, 1994"
Aspen Ladd,"Mar 01, 1995"
Assu Almabayev,"Jan 25, 1994"
Assuerio Silva,"Jun 18, 1974"
Asu Almabayev,"Jan 25, 1994"
Ateba Gautier,"Apr 10, 2002"
Augusto Mendes,"Mar 03, 1983"
Augusto Montano,"Oct 25, 1984"
Augusto Sakai,"May 09, 1991"
Austen Lane,"Nov 09, 1987"
Austin Arnett,"Oct 22, 1991"
Austin Bashi,"Sep 29, 2001"
Austin Hubbard,"Dec 22, 1991"
Austin Lingo,"Jul 10, 1994"
Austin Springer,"May 12, 1987"
Austin Vanderford,"Mar 21, 1990"
Axel Sola,"Sep 17, 1997"
Azamat Bekoev,"Dec 30, 1995"
Azamat Gashimov,"Apr 07, 1990"
Azamat Murzakanov,"Apr 12, 1989"
Azat Maksum,"Feb 02, 1995"
Azunna Anyanwu,"Aug 05, 1981"
BJ Penn,"Dec 13, 1978"
Baergeng Jieleyisi,"Nov 24, 1995"
Baisangur Susurkaev,"Jan 08, 2001"
Barb Honchak,"Aug 30, 1979"
Bart Palaszewski,"May 30, 1983"
Bartosz Fabinski,"Apr 26, 1986"
Bas Rutten,"Feb 24, 1965"
Bassil Hafez,"Jan 31, 1992"
Batgerel Danaa,"Jul 04, 1989"
Bea Malecki,"Aug 23, 1991"
Bec Rawlings,"Feb 11, 1989"
Bekzat Almakhan,"Oct 08, 1997"
Belal Muhammad,"Jul 09, 1988"
Ben Alloway,"Feb 19, 1981"
Ben Askren,"Jul 18, 1984"
Ben Earwood,--
Ben Nguyen,"Aug 03, 1988"
Ben Rothwell,"Oct 17, 1981"
Ben Saunders,"Apr 13, 1983"
Ben Sosoli,"Dec 10, 1989"
Ben Wall,"Mar 25, 1989"
Benardo Sopaj,"Sep 25, 2000"
Beneil Dariush,"May 06, 1989"
Benito Lopez,"Apr 06, 1994"
Benji Radach,"Apr 05, 1979"
Benoit Saint Denis,"Dec 18, 1995"
Benson Henderson,"Nov 16, 1983"
Bentley Syler,"Dec 22, 1982"
Bernardo Magalhaes,"Apr 08, 1981"
Besam Yousef,"Mar 25, 1985"
Bethe Correia,"Jun 22, 1983"
Bevon Lewis,"May 05, 1991"
Bharat Kandare,"Jun 20, 1987"
Bia Mesquita,"Apr 07, 1991"
Bibulatov Magomed,"May 11, 1984"
Bill Algeo,"Jun 09, 1989"
Bill Mahood,"Feb 01, 1967"
Billy Elekana,"May 28, 1995"
Billy Goff,"Jun 18, 1998"
Billy Miles,"Apr 28, 1978"
Billy Quarantillo,"Dec 08, 1988"
Billy Ray Goff,"Jun 18, 1998"
Blagoy Ivanov,"Oct 09, 1986"
Blake Bilder,"Jul 12, 1990"
Blood Diamond,"Jul 10, 1988"
Bo Nickal,"Jan 14, 1996"
Bob Cook,--
Bob Gilstrap,--
Bobby Green,"Sep 09, 1986"
Bobby Hoffman,"Oct 28, 1968"
Bobby Moffett,"Jun 01, 1990"
Bobby Nash,"Mar 26, 1990"
Bobby Southworth,"Dec 16, 1969"
Bobby Voelker,"Apr 26, 1979"
Bogdan Grad,"Sep 28, 1995"
Bogdan Guskov,"Sep 12, 1992"
Bojan Mihajlovic,"Mar 30, 1980"
Bojan Velickovic,"Dec 18, 1988"
Bolaji Oki,"Nov 15, 1995"
Boston Salmon,"Nov 20, 1990"
Brad Blackburn,"May 25, 1977"
Brad Gumm,--
Brad Imes,"Mar 13, 1977"
Brad Katona,"Dec 19, 1991"
Brad Kohler,"May 26, 1964"
Brad Morris,"Nov 01, 1979"
Brad Pickett,"Sep 24, 1978"
Brad Riddell,"Sep 30, 1991"
Brad Scott,"Jun 24, 1989"
Brad Tavares,"Dec 21, 1987"
Brady Hiestand,"Apr 30, 1999"
Branden Lee Hinkle,"Jul 29, 1973"
Brando Pericic,"Aug 03, 1994"
Brandon Davis,"May 08, 1990"
Brandon Jenkins,"Sep 30, 1991"
Brandon Melendez,"Mar 24, 1983"
Brandon Moreno,"Dec 07, 1993"
Brandon Royval,"Aug 16, 1992"
Brandon Thatch,"Jul 11, 1985"
Brandon Vera,"Oct 10, 1977"
Brandon Wolff,"Oct 18, 1975"
Braxton Smith,"Jan 01, 1990"
Brendan Allen,"Dec 28, 1995"
Brendan Loughnane,"Dec 05, 1989"
Brendan O'Reilly,"Jun 24, 1987"
Brendan Schaub,"Mar 18, 1983"
Brendon Marotte,"Jan 12, 1996"
Brendson Ribeiro,"Sep 08, 1996"
Brett Johns,"Feb 21, 1992"
Brian Bowles,"Jun 22, 1980"
Brian Camozzi,"Jun 24, 1991"
Brian Cobb,"Sep 03, 1980"
Brian Ebersole,"Nov 27, 1980"
Brian Foster,"Apr 03, 1984"
Brian Gassaway,"Aug 07, 1972"
Brian Geraghty,"Nov 04, 1980"
Brian Houston,"Apr 26, 1981"
Brian Johnston,"Jul 28, 1968"
Brian Kelleher,"Aug 19, 1986"
Brian Melancon,"May 28, 1982"
Brian Ortega,"Feb 21, 1991"
Brian Stann,"Sep 24, 1980"
Brianna Van Buren,"Mar 01, 1989"
Bristol Marunde,"Apr 20, 1982"
Brock Jardine,"Jul 10, 1985"
Brock Larson,"Aug 23, 1977"
Brock Lesnar,"Jul 12, 1977"
Brodie Farber,"Jul 05, 1980"
Brogan Walker,"Aug 02, 1988"
Brok Weaver,"Dec 05, 1991"
Bruna Brasil,"Sep 07, 1993"
Brunno Ferreira,"Nov 04, 1992"
Bruno Lopes,"Apr 24, 1993"
Bruno Rodrigues,"Feb 17, 1992"
Bruno Santos,"Jul 17, 1987"
Bruno Silva,"Jul 13, 1989"
Bruno Souza,"Mar 07, 1996"
Bryan Barberena,"May 03, 1989"
Bryan Battle,"Sep 21, 1994"
Bryan Caraway,"Aug 04, 1984"
Bryce Mitchell,"Oct 04, 1994"
Bubba Bush,"Jul 24, 1985"
Buddy Roberts,"Oct 17, 1982"
Byron Bloodworth,"Aug 16, 1983"
CB Dollaway,"Aug 10, 1983"
CJ Fernandes,"Nov 13, 1977"
CJ Keith,"Aug 09, 1986"
CJ Vergara,"Jun 18, 1991"
CM Punk,"Oct 26, 1978"
Cain Carrizosa,"Jul 22, 1986"
Cain Velasquez,"Jul 28, 1982"
Caio Borralho,"Jan 16, 1993"
Caio Machado,"Jul 20, 1994"
Caio Magalhaes,"Dec 14, 1987"
Cal Worsham,"Jun 11, 1963"
Cale Yarbrough,"Dec 27, 1986"
Callan Potter,"Jun 09, 1984"
Calvin Kattar,"Mar 26, 1988"
Cam Rowston,"Jan 19, 1995"
Cameron Dollar,"May 12, 1987"
Cameron Else,"Apr 27, 1987"
Cameron Saaiman,"Dec 20, 2000"
Cameron Smotherman,"Sep 17, 1997"
Cameron VanCamp,"Apr 27, 1993"
Caol Uno,"May 08, 1975"
Caolan Loughran,"May 18, 1996"
Carl Deaton,"Nov 24, 1989"
Carla Esparza,"Oct 10, 1987"
Carli Judice,"Mar 02, 1999"
Carlo Pedersoli Jr.,"Jun 08, 1993"
Carlo Prater,"Jun 25, 1981"
Carlos Barreto,"Jul 22, 1968"
Carlos Candelario,"Jun 04, 1991"
Carlos Condit,"Apr 26, 1984"
Carlos Eduardo Rocha,"Jul 12, 1981"
Carlos Felipe,"Jan 12, 1995"
Carlos Hernandez,"Oct 25, 1993"
Carlos Huachin,"Jun 04, 1996"
Carlos Leal,"May 04, 1994"
Carlos Mota,"Apr 15, 1995"
Carlos Newton,"Aug 17, 1976"
Carlos Prates,"Aug 17, 1993"
Carlos Ulberg,"Nov 07, 1990"
Carlos Vera,"Nov 05, 1987"
Carls John De Tomas,"Aug 28, 1996"
Carlston Harris,"Jul 09, 1987"
Carlton Minus,"Apr 26, 1993"
Carmelo Marrero,"Jan 26, 1981"
Caros Fodor,"Jan 07, 1984"
Casey Kenney,"Mar 20, 1991"
Casey O'Neill,"Oct 07, 1997"
Cat Zingano,"Jul 01, 1982"
Cathal Pendred,"Sep 02, 1987"
Cesar Almeida,"Mar 28, 1988"
Cesar Arzamendia,"Jan 31, 1991"
Cezar Ferreira,"Feb 15, 1985"
Cezary Oleksiejczuk,"Jan 06, 2000"
Chad Anheliger,"Dec 01, 1986"
Chad Griggs,"May 15, 1978"
Chad Laprise,"Jul 23, 1986"
Chad Mendes,"May 01, 1985"
Chad Reiner,"Jun 29, 1981"
Chael Sonnen,"Apr 03, 1977"
Chan Sung Jung,"Mar 17, 1987"
Chan-Mi Jeon,"Aug 28, 1997"
Chance Rencountre,"Dec 31, 1986"
ChangHo Lee,"May 09, 1994"
Charalampos Grigoriou,"Mar 31, 1992"
Charles Byrd,"Oct 11, 1983"
Charles Johnson,"Jan 10, 1991"
Charles Jourdain,"Nov 27, 1995"
Charles McCarthy,"Aug 06, 1980"
Charles Oliveira,"Oct 17, 1989"
Charles Radtke,"Jul 09, 1990"
Charles Rosa,"Aug 24, 1986"
Charlie Brenneman,"Feb 09, 1981"
Charlie Campbell,"Jul 03, 1995"
Charlie Ontiveros,"Jul 04, 1991"
Charlie Valencia,"Oct 31, 1974"
Charlie Ward,"Dec 17, 1980"
Chas Skelly,"May 11, 1985"
Chase Gormley,"Aug 11, 1983"
Chase Hooper,"Sep 13, 1999"
Chase Sherman,"Nov 16, 1989"
Che Mills,"Sep 29, 1982"
Cheick Kongo,"May 17, 1975"
Chelsea Chandler,"Nov 23, 1990"
Chepe Mariscal,"Oct 27, 1992"
Cheyanne Buys,"Apr 30, 1996"
Cheyanne Vlismas,"Jun 25, 1995"
Chico Camus,"Jan 26, 1985"
Chidi Njokuani,"Dec 31, 1988"
Chris Avila,"Jan 16, 1993"
Chris Barnett,"Jun 14, 1986"
Chris Beal,"Aug 06, 1985"
Chris Brennan,"Oct 12, 1971"
Chris Camozzi,"Nov 20, 1986"
Chris Cariaso,"May 27, 1981"
Chris Clements,"Feb 09, 1976"
Chris Condo,--
Chris Cope,"Mar 05, 1983"
Chris Curtis,"Jul 15, 1987"
Chris Daukaus,"Sep 25, 1989"
Chris Dempsey,"Sep 08, 1987"
Chris Duncan,"May 10, 1993"
Chris Fishgold,"Jun 06, 1992"
Chris Gruetzemacher,"Jun 16, 1986"
Chris Gutierrez,"Apr 22, 1991"
Chris Haseman,"Jun 02, 1969"
Chris Heatherly,"Nov 24, 1987"
Chris Holdsworth,"Oct 24, 1987"
Chris Indich,"Apr 22, 1987"
Chris Kelades,"Feb 21, 1981"
Chris Leben,"Jul 21, 1980"
Chris Liguori,--
Chris Lytle,"Aug 18, 1974"
Chris Padilla,"Sep 14, 1995"
Chris Price,"Nov 09, 1982"
Chris Sanford,"Mar 12, 1968"
Chris Saunders,"Mar 11, 1986"
Chris Spang,"Nov 26, 1987"
Chris Tickle,"Feb 01, 1982"
Chris Tuchscherer,"Sep 08, 1975"
Chris Wade,"Sep 30, 1987"
Chris Weidman,"Jun 17, 1984"
Chris Wilson,"Jun 07, 1977"
Chris de la Rocha,"May 15, 1979"
Christian Aguilera,"Nov 25, 1991"
Christian Colombo,"Jul 01, 1980"
Christian Duncan,"May 10, 1993"
Christian Leroy Duncan,"Jul 24, 1995"
Christian Morecraft,"Sep 08, 1986"
Christian Rodriguez,"Dec 17, 1997"
Christian Wellisch,"Sep 13, 1975"
Christina Marks,"Nov 08, 1985"
Christophe Leninger,--
Christos Giagos,"Jan 23, 1990"
Chuck Liddell,"Dec 17, 1969"
Chuck O'Neil,"Sep 22, 1985"
Cindy Dandois,"Oct 26, 1984"
Ciryl Gane,"Apr 12, 1990"
Claude Patrick,"Jun 14, 1980"
Claudia Gadelha,"Dec 07, 1988"
Claudio Puelles,"Apr 21, 1996"
Claudio Ribeiro,"Jul 17, 1992"
Claudio Silva,"Sep 06, 1982"
Clay Collard,"Mar 10, 1993"
Clay Guida,"Dec 08, 1981"
Clay Harvison,"Sep 25, 1980"
Clayton Carpenter,"Jun 09, 1996"
Clifford Starks,"Apr 25, 1981"
Clint Hester,"Nov 21, 1986"
Cody Brundage,"May 16, 1994"
Cody Donovan,"Feb 20, 1981"
Cody Durden,"Mar 29, 1991"
Cody East,"Jun 29, 1988"
Cody Garbrandt,"Jul 07, 1991"
Cody Gibson,"Sep 11, 1987"
Cody Haddon,"Sep 08, 1998"
Cody McKenzie,"Dec 16, 1987"
Cody Pfister,"Jul 12, 1990"
Cody Stamann,"Nov 09, 1989"
Colby Covington,"Feb 22, 1988"
Colby Thicknesse,"Jun 23, 1999"
Cole Escovedo,"Aug 30, 1981"
Cole Miller,"Apr 26, 1984"
Cole Smith,"Apr 05, 1989"
Cole Williams,"Dec 15, 1983"
Colin Fletcher,"Jan 08, 1983"
Colin Robinson,"Nov 27, 1968"
Collin Anglin,"Feb 20, 1993"
Collin Hart,"Oct 12, 1989"
Colton Smith,"Aug 14, 1987"
Connor Matthews,"May 31, 1992"
Conor McGregor,"Jul 14, 1988"
Constantinos Philippou,"Nov 29, 1979"
Corey Anderson,"Sep 22, 1989"
Corey Hill,"Oct 03, 1978"
Cortavious Romious,"Jan 06, 1994"
Cortney Casey,"May 05, 1987"
Cory Hendricks,"May 10, 1988"
Cory McKenna,"Jul 11, 1999"
Cory Sandhagen,"Apr 20, 1992"
Cory Walmsley,--
Court McGee,"Dec 12, 1984"
Crafton Wallace,"Nov 10, 1975"
Craig White,"Jul 01, 1990"
Cristian Quinonez,"Apr 26, 1996"
Cristiane Justino,"Jul 09, 1985"
Cristiano Marcello,"Dec 03, 1977"
Cristina Stanciu,"Mar 29, 1994"
Cub Swanson,"Nov 02, 1983"
Cung Le,"May 25, 1972"
Curt Warburton,--
Curtis Blaydes,"Feb 18, 1991"
Curtis Millender,"Dec 01, 1987"
Curtis Stout,"Nov 07, 1973"
Cynthia Calvillo,"Jul 13, 1987"
Cyril Asker,"Dec 24, 1985"
Cyrille Diabate,"Oct 06, 1973"
Da Woon Jung,"Dec 07, 1993"
Da'Mon Blackshear,"Aug 12, 1994"
Da-Un Jung,"Sep 10, 2002"
DaMarques Johnson,"Jun 28, 1982"
Daichi Abe,"Nov 27, 1991"
Daiju Takase,"Apr 20, 1978"
Dakota Bush,"Jun 09, 1994"
Dalcha Lungiambula,"Jul 31, 1987"
Dale Hartt,"Apr 04, 1979"
Damacio Page,"Sep 30, 1982"
Damian Grabowski,"May 12, 1980"
Damian Pinas,"Mar 12, 2002"
Damian Stasiak,"Feb 20, 1990"
Damien Brown,"Dec 25, 1984"
Damir Hadzovic,"Aug 08, 1986"
Damir Ismagulov,"Feb 03, 1991"
Damon Jackson,"Aug 08, 1988"
Dan Argueta,"Aug 13, 1993"
Dan Barrera,"Dec 23, 1980"
Dan Bobish,"Jan 26, 1970"
Dan Christison,"Apr 26, 1972"
Dan Cramer,"Oct 31, 1985"
Dan Evensen,"Jun 01, 1974"
Dan Hardy,"May 17, 1982"
Dan Henderson,"Aug 24, 1970"
Dan Hooker,"Feb 13, 1990"
Dan Ige,"Aug 06, 1991"
Dan Lauzon,"Mar 30, 1988"
Dan Miller,"Jun 30, 1981"
Dan Moret,"Nov 21, 1986"
Dan Severn,"Jun 08, 1958"
Dan Stittgen,"Nov 17, 1980"
Danaa Batgerel,"Jul 04, 1989"
Daniel Barez,"Dec 10, 1988"
Daniel Cormier,"Mar 20, 1979"
Daniel Da Silva,"Jun 18, 1974"
Daniel Frunza,"Apr 13, 1994"
Daniel Jolly,"Sep 03, 1984"
Daniel Kelly,"Oct 31, 1977"
Daniel Lacerda,"Jun 05, 1996"
Daniel Marcos,"Mar 07, 1993"
Daniel Omielanczuk,"Aug 31, 1982"
Daniel Pineda,"Aug 06, 1985"
Daniel Roberts,"Aug 05, 1980"
Daniel Rodriguez,"Dec 31, 1986"
Daniel Santos,"Mar 12, 1995"
Daniel Sarafian,"Aug 21, 1982"
Daniel Spitz,"Jul 31, 1990"
Daniel Spohn,"Oct 12, 1984"
Daniel Teymur,"Feb 03, 1988"
Daniel Zellhuber,"Jul 07, 1999"
Danielle Taylor,"Oct 25, 1989"
Daniil Donchenko,"Aug 04, 2001"
Danillo Villefort,"May 08, 1983"
Danilo Belluardo,"Jul 21, 1994"
Danilo Marques,"Dec 26, 1985"
Danny Abbadi,"Jul 03, 1983"
Danny Barlow,"Aug 02, 1995"
Danny Castillo,"Aug 25, 1979"
Danny Chavez,"Mar 14, 1987"
Danny Downes,"Apr 08, 1986"
Danny Henry,"Jul 17, 1988"
Danny Martinez,"Jun 14, 1985"
Danny Mitchell,"Aug 08, 1986"
Danny Roberts,"Jul 14, 1987"
Danny Silva,"Jan 30, 1997"
Dante Rivera,"Dec 08, 1974"
Danyelle Wolf,"Sep 08, 1983"
Daria Zhelezniakova,"Jan 23, 1996"
Darian Weeks,"Nov 23, 1993"
Darko Stosic,"Feb 09, 1992"
Daron Cruickshank,"Jun 11, 1985"
Darrel Gholar,"Nov 07, 1962"
Darrell Horcher,"Jul 28, 1987"
Darrell Montague,"Nov 03, 1987"
Darren Elkins,"May 16, 1984"
Darren Stewart,"Dec 30, 1990"
Darren Till,"Dec 24, 1992"
Darren Uyenoyama,"Oct 15, 1979"
Darrick Minner,"Apr 28, 1990"
Darrill Schoonover,"Jul 18, 1985"
Darrius Flowers,"Aug 25, 1994"
Dashon Johnson,"Jan 25, 1988"
Dave Beneteau,--
Dave Galera,"Jan 12, 1978"
Dave Herman,"Oct 03, 1984"
Dave Menne,"Jul 29, 1974"
Dave Strasser,"Jul 13, 1969"
Davey Grant,"Dec 18, 1985"
Davi Ramos,"Nov 05, 1986"
David Abbott,"Apr 26, 1965"
David Baron,"Feb 15, 1973"
David Bielkheden,"Jun 06, 1979"
David Branch,"Sep 26, 1981"
David Dodd,"Sep 22, 1973"
David Dvorak,"Jun 05, 1992"
David Heath,"Feb 10, 1976"
David Hood,--
David Kaplan,"Nov 16, 1979"
David Lee,"Apr 12, 1978"
David Levicki,--
David Loiseau,"Dec 17, 1979"
David Martinez,"Aug 03, 1998"
David Michaud,"Nov 10, 1988"
David Mitchell,"Oct 24, 1979"
David Onama,"Jun 07, 1994"
David Roberts,"Nov 15, 1975"
David Terrell,"Jan 09, 1978"
David Teymur,"May 01, 1989"
David Velasquez,"Oct 19, 1966"
David Zawada,"Aug 01, 1990"
DeAnna Bennett,"Nov 18, 1984"
Dean Barry,"Jul 03, 1992"
Dean Lister,"Feb 13, 1976"
Deiveson Figueiredo,"Dec 18, 1987"
Delson Heleno,"Nov 16, 1977"
Demetrious Johnson,"Aug 13, 1986"
Demian Maia,"Nov 06, 1977"
Denis Kang,"Sep 17, 1977"
Denis Stojnic,"Feb 02, 1980"
Denis Tiuliulin,"May 17, 1988"
Denise Gomes,"Dec 30, 1999"
Dennis Bermudez,"Dec 13, 1986"
Dennis Buzukja,"Oct 01, 1997"
Dennis Hallman,"Dec 02, 1975"
Dennis Siver,"Jan 13, 1979"
Denys Bondar,"Jun 27, 1992"
Denzel Freeman,"Nov 10, 1991"
Dequan Townsend,"May 11, 1986"
Derek Brunson,"Jan 04, 1984"
Derek Downey,"Apr 27, 1980"
Deron Winn,"Jun 13, 1989"
Derrick Krantz,"Jan 13, 1988"
Derrick Lewis,"Feb 07, 1985"
